category,count,pct
33,94,1.88
15,94,1.88
10,89,1.78
12,89,1.78
37,89,1.78
36,89,1.78
11,87,1.74
31,86,1.72
9,84,1.68
41,84,1.68
34,83,1.66
1,83,1.66
29,82,1.64
45,82,1.64
46,81,1.62
39,81,1.62
38,81,1.62
13,80,1.6
30,80,1.6
24,79,1.58
35,78,1.56
40,78,1.56
27,76,1.52
28,75,1.5
3,75,1.5
43,75,1.5
20,75,1.5
8,74,1.48
5,74,1.48
42,73,1.46
2,73,1.46
14,73,1.46
47,72,1.44
16,72,1.44
7,72,1.44
4,71,1.42
25,71,1.42
6,71,1.42
32,69,1.38
17,68,1.36
44,68,1.36
26,67,1.34
23,63,1.26
0,62,1.24
19,62,1.24
52,60,1.2
51,59,1.18
49,59,1.18
50,58,1.16
22,58,1.16
18,54,1.08
48,54,1.08
55,53,1.06
57,53,1.06
53,52,1.04
67,47,0.94
59,46,0.92
60,43,0.86
63,42,0.84
21,42,0.84
