category,count,pct
0,4817,96.34
7298,16,0.32
15024,14,0.28
7688,14,0.28
99999,12,0.24
5178,8,0.16
3103,6,0.12
2414,6,0.12
3464,4,0.08
20051,4,0.08
5013,4,0.08
4386,3,0.06
2174,3,0.06
4650,3,0.06
2597,3,0.06
2635,3,0.06
3325,3,0.06
2202,3,0.06
8614,3,0.06
2829,2,0.04
5556,2,0.04
3137,2,0.04
10605,2,0.04
1086,2,0.04
13550,2,0.04
914,2,0.04
2354,2,0.04
1055,2,0.04
2105,2,0.04
3942,2,0.04
27828,2,0.04
2176,2,0.04
2329,2,0.04
2653,2,0.04
2580,2,0.04
2885,2,0.04
1409,2,0.04
991,1,0.02
1831,1,0.02
2538,1,0.02
3908,1,0.02
2407,1,0.02
2050,1,0.02
4064,1,0.02
4787,1,0.02
2009,1,0.02
6097,1,0.02
6767,1,0.02
2228,1,0.02
2062,1,0.02
9562,1,0.02
7262,1,0.02
2290,1,0.02
1173,1,0.02
7430,1,0.02
3456,1,0.02
10520,1,0.02
2907,1,0.02
3471,1,0.02
9386,1,0.02
