category,count,pct
0,4899,97.98
1977,12,0.24
1902,9,0.18
1887,8,0.16
1602,6,0.12
2001,4,0.08
1980,4,0.08
1590,3,0.06
1719,3,0.06
2205,3,0.06
1876,3,0.06
2339,3,0.06
1408,3,0.06
1848,2,0.04
2377,2,0.04
1740,2,0.04
1974,2,0.04
2788,2,0.04
2174,2,0.04
2489,2,0.04
1669,1,0.02
2444,1,0.02
1421,1,0.02
2149,1,0.02
2090,1,0.02
1573,1,0.02
2415,1,0.02
1258,1,0.02
2597,1,0.02
2603,1,0.02
1721,1,0.02
1816,1,0.02
1340,1,0.02
2042,1,0.02
1485,1,0.02
2129,1,0.02
2457,1,0.02
2051,1,0.02
1762,1,0.02
2057,1,0.02
1672,1,0.02
2258,1,0.02
213,1,0.02
1651,1,0.02
2206,1,0.02
3770,1,0.02
