category,count,pct
United-States,3972,81.96450680973999
Mexico,243,5.014444903012794
Puerto-Rico,62,1.2794056954189021
Italy,55,1.1349566652909615
Germany,45,0.9286009079653322
Dominican-Republic,41,0.8460586050350805
Philippines,37,0.7635163021048287
Poland,37,0.7635163021048287
Cuba,33,0.680973999174577
Canada,33,0.680973999174577
China,30,0.6190672719768882
El-Salvador,24,0.49525381758151055
England,22,0.45398266611638466
Ireland,19,0.39207593891869585
Columbia,16,0.330169211721007
Vietnam,13,0.2682624845233182
Guatemala,11,0.22699133305819233
Jamaica,11,0.22699133305819233
Haiti,11,0.22699133305819233
South Korea,10,0.20635575732562939
Nicaragua,9,0.18572018159306644
Peru,8,0.1650846058605035
Scotland,8,0.1650846058605035
India,8,0.1650846058605035
Cambodia,7,0.14444903012794058
Honduras,7,0.14444903012794058
Iran,7,0.14444903012794058
France,7,0.14444903012794058
Outlying-U S (Guam USVI etc),6,0.12381345439537764
Ecuador,6,0.12381345439537764
Hungary,6,0.12381345439537764
Yugoslavia,6,0.12381345439537764
Portugal,6,0.12381345439537764
Hong Kong,6,0.12381345439537764
Greece,6,0.12381345439537764
Japan,5,0.10317787866281469
Holand-Netherlands,4,0.08254230293025175
Taiwan,3,0.06190672719768882
Trinadad&Tobago,3,0.06190672719768882
Thailand,2,0.041271151465125874
Laos,1,0.020635575732562937
