category,count,pct
United-States,4013,82.67408323032551
Mexico,253,5.212196126905645
Puerto-Rico,57,1.1742892459826946
Italy,45,0.927070457354759
Philippines,40,0.8240626287597858
Germany,39,0.8034610630407911
Dominican-Republic,33,0.6798516687268232
England,32,0.6592501030078286
Cuba,31,0.638648537288834
China,28,0.57684384013185
Poland,28,0.57684384013185
El-Salvador,26,0.5356407086938607
Canada,22,0.45323444581788214
Ireland,20,0.4120313143798929
Columbia,17,0.35022661722290893
Vietnam,14,0.288421920065925
Guatemala,12,0.24721878862793573
Nicaragua,11,0.22661722290894107
Jamaica,11,0.22661722290894107
Peru,10,0.20601565718994644
Hungary,10,0.20601565718994644
South Korea,9,0.18541409147095178
Haiti,9,0.18541409147095178
Scotland,8,0.16481252575195715
Honduras,7,0.1442109600329625
India,6,0.12360939431396786
Greece,6,0.12360939431396786
Portugal,5,0.10300782859497322
Yugoslavia,5,0.10300782859497322
Iran,5,0.10300782859497322
France,5,0.10300782859497322
Cambodia,5,0.10300782859497322
Japan,5,0.10300782859497322
Outlying-U S (Guam USVI etc),5,0.10300782859497322
Ecuador,4,0.08240626287597858
Hong Kong,4,0.08240626287597858
Holand-Netherlands,4,0.08240626287597858
Taiwan,3,0.06180469715698393
Trinadad&Tobago,3,0.06180469715698393
Thailand,2,0.04120313143798929
Panama,1,0.020601565718994644
Laos,1,0.020601565718994644
