category,count,pct
Householder,1329,26.58
Child <18 never marr not in subfamily,1245,24.9
Spouse of householder,1072,21.44
Nonfamily householder,561,11.22
Child 18+ never marr Not in a subfamily,280,5.6
Secondary individual,157,3.14
Other Rel 18+ ever marr not in subfamily,49,0.98
Grandchild <18 never marr child of subfamily RP,41,0.82
Other Rel 18+ never marr not in subfamily,39,0.78
Grandchild <18 never marr not in subfamily,35,0.7
Child 18+ ever marr Not in a subfamily,28,0.56
Child under 18 of RP of unrel subfamily,22,0.44
Child 18+ never marr RP of subfamily,19,0.38
Other Rel 18+ ever marr RP of subfamily,17,0.34
RP of unrelated subfamily,17,0.34
Other Rel <18 never marr not in subfamily,16,0.32
Other Rel <18 never marr child of subfamily RP,15,0.3
Other Rel 18+ spouse of subfamily RP,15,0.3
Grandchild 18+ never marr not in subfamily,14,0.28
Child 18+ ever marr RP of subfamily,13,0.26
Child 18+ spouse of subfamily RP,6,0.12
In group quarters,5,0.1
Child <18 never marr RP of subfamily,2,0.04
Other Rel <18 spouse of subfamily RP,1,0.02
Grandchild 18+ spouse of subfamily RP,1,0.02
Other Rel 18+ never marr RP of subfamily,1,0.02
