category,count,pct
0,2449,48.98
33,433,8.66
43,225,4.5
4,161,3.22
42,119,2.38
45,117,2.34
29,117,2.34
35,103,2.06
37,100,2.0
41,91,1.82
32,88,1.76
39,83,1.66
34,77,1.54
44,56,1.12
50,51,1.02
11,49,0.98
2,48,0.96
40,46,0.92
24,42,0.84
19,41,0.82
9,36,0.72
30,33,0.66
38,30,0.6
25,28,0.56
36,27,0.54
47,27,0.54
22,27,0.54
12,25,0.5
13,25,0.5
31,24,0.48
48,20,0.4
1,20,0.4
23,18,0.36
27,17,0.34
5,16,0.32
49,16,0.32
21,16,0.32
18,14,0.28
3,12,0.24
7,12,0.24
16,11,0.22
6,10,0.2
8,10,0.2
15,9,0.18
14,6,0.12
46,5,0.1
26,4,0.08
17,4,0.08
28,2,0.04
