category,count,pct
0,2449,48.98
2,236,4.72
26,210,4.2
29,144,2.88
19,136,2.72
36,112,2.24
10,104,2.08
23,100,2.0
16,95,1.9
34,92,1.84
35,88,1.76
33,85,1.7
3,81,1.62
12,78,1.56
38,74,1.48
31,67,1.34
37,59,1.18
32,56,1.12
42,52,1.04
24,49,0.98
30,48,0.96
17,44,0.88
8,43,0.86
18,41,0.82
13,40,0.8
41,38,0.76
44,34,0.68
4,31,0.62
39,27,0.54
43,27,0.54
14,26,0.52
27,24,0.48
28,24,0.48
9,22,0.44
15,22,0.44
25,21,0.42
1,19,0.38
7,18,0.36
5,16,0.32
40,13,0.26
11,12,0.24
22,11,0.22
21,9,0.18
6,9,0.18
45,8,0.16
20,6,0.12
