category,count,pct
0,4468,89.36
100,34,0.68
200,28,0.56
500,23,0.46
1000,22,0.44
50,20,0.4
250,18,0.36
300,14,0.28
150,14,0.28
2000,13,0.26
600,13,0.26
1,13,0.26
25,10,0.2
3000,9,0.18
1500,9,0.18
10,8,0.16
400,8,0.16
30,6,0.12
5000,6,0.12
4,5,0.1
20,5,0.1
75,5,0.1
3,5,0.1
60,5,0.1
1250,5,0.1
2500,5,0.1
10000,4,0.08
125,4,0.08
40,4,0.08
5,4,0.08
900,4,0.08
700,3,0.06
7,3,0.06
45,3,0.06
11,3,0.06
2,3,0.06
4000,3,0.06
6,3,0.06
850,3,0.06
7000,3,0.06
750,3,0.06
6000,2,0.04
59,2,0.04
275,2,0.04
800,2,0.04
70,2,0.04
2100,2,0.04
26,2,0.04
37,2,0.04
166,2,0.04
15,2,0.04
310,2,0.04
450,2,0.04
1200,2,0.04
80,2,0.04
187,2,0.04
120,2,0.04
2052,2,0.04
7500,2,0.04
20000,2,0.04
