category,count,pct
High school graduate,1233,24.66
Children,1157,23.14
Some college but no degree,701,14.02
Bachelors degree(BA AB BS),468,9.36
7th and 8th grade,222,4.44
10th grade,202,4.04
Masters degree(MA MS MEng MEd MSW MBA),172,3.44
11th grade,167,3.34
9th grade,160,3.2
Associates degree-academic program,127,2.54
Associates degree-occup /vocational,127,2.54
5th or 6th grade,69,1.38
1st 2nd 3rd or 4th grade,49,0.98
Prof school degree (MD DDS DVM LLB JD),44,0.88
12th grade no diploma,42,0.84
Doctorate degree(PhD EdD),38,0.76
Less than 1st grade,22,0.44
