category,count,pct
Not in universe or children,2449,48.98
Retail trade,433,8.66
Manufacturing-durable goods,227,4.54
Education,225,4.5
Manufacturing-nondurable goods,195,3.9
Finance insurance and real estate,180,3.6
Construction,161,3.22
Business and repair services,130,2.6
Medical except hospital,119,2.38
Other professional services,117,2.34
Transportation,117,2.34
Public administration,114,2.28
Hospital services,91,1.82
Wholesale trade,88,1.76
Personal services except private HH,83,1.66
Agriculture,68,1.36
Social services,56,1.12
Entertainment,46,0.92
Communications,33,0.66
Private household services,27,0.54
Utilities and sanitary services,24,0.48
Mining,12,0.24
Forestry and fisheries,5,0.1
