category,count,pct
Not in universe,2449,48.98
Adm support including clerical,400,8.0
Executive admin and managerial,336,6.72
Professional specialty,333,6.66
Sales,322,6.44
Other service,315,6.3
Precision production craft & repair,265,5.3
Machine operators assmblrs & inspctrs,171,3.42
Handlers equip cleaners etc ,103,2.06
Transportation and material moving,101,2.02
Technicians and related support,88,1.76
Farming forestry and fishing,69,1.38
Private household services,24,0.48
Protective services,24,0.48
