category,count,pct
0,4688,93.76
500,17,0.34
700,16,0.32
900,14,0.28
425,13,0.26
600,13,0.26
1000,10,0.2
450,8,0.16
1100,7,0.14
1500,7,0.14
800,7,0.14
1200,6,0.12
650,6,0.12
1400,6,0.12
1300,5,0.1
550,5,0.1
1600,5,0.1
750,5,0.1
475,4,0.08
625,4,0.08
950,4,0.08
525,3,0.06
850,3,0.06
1127,3,0.06
875,3,0.06
1050,3,0.06
725,3,0.06
825,3,0.06
400,2,0.04
1850,2,0.04
1350,2,0.04
1800,2,0.04
1015,2,0.04
715,2,0.04
965,2,0.04
1150,2,0.04
1880,2,0.04
1335,2,0.04
575,2,0.04
675,2,0.04
876,1,0.02
560,1,0.02
830,1,0.02
1925,1,0.02
987,1,0.02
2825,1,0.02
709,1,0.02
775,1,0.02
5000,1,0.02
655,1,0.02
727,1,0.02
486,1,0.02
671,1,0.02
610,1,0.02
920,1,0.02
1619,1,0.02
1870,1,0.02
786,1,0.02
1288,1,0.02
879,1,0.02
