category,count,pct
0,2337,46.74
52,1828,36.56
40,76,1.52
50,58,1.16
26,58,1.16
36,45,0.9
30,36,0.72
12,34,0.68
48,30,0.6
20,30,0.6
8,28,0.56
45,27,0.54
51,25,0.5
16,25,0.5
32,24,0.48
4,20,0.4
44,20,0.4
35,20,0.4
49,16,0.32
10,16,0.32
46,16,0.32
24,15,0.3
1,15,0.3
38,14,0.28
13,14,0.28
2,14,0.28
6,12,0.24
28,12,0.24
42,11,0.22
39,10,0.2
22,10,0.2
15,9,0.18
47,9,0.18
3,9,0.18
9,8,0.16
43,8,0.16
25,8,0.16
5,8,0.16
14,7,0.14
17,6,0.12
37,6,0.12
34,4,0.08
11,4,0.08
21,4,0.08
23,3,0.06
7,3,0.06
18,3,0.06
29,2,0.04
41,1,0.02
19,1,0.02
27,1,0.02
