age,wage per hour,capital gains,capital losses,dividends from stocks,num persons worked for employer,weeks worked in year,year,education_ord,enroll in edu inst last wk_High school,enroll in edu inst last wk_Not in universe,live in this house 1 year ago_Not in universe under 1 year old,live in this house 1 year ago_Yes,member of a labor union_Not in universe,member of a labor union_Yes,migration prev res in sunbelt_Not Applicable,migration prev res in sunbelt_Not in universe,migration prev res in sunbelt_Yes,fill inc questionnaire for veteran's admin_Not in universe,fill inc questionnaire for veteran's admin_Yes,own business or self employed_1,own business or self employed_2,veterans benefits_1,veterans benefits_2,citizenship_Foreign born- U S citizen by naturalization,citizenship_Native- Born abroad of American Parent(s),citizenship_Native- Born in Puerto Rico or U S Outlying,citizenship_Native- Born in the United States,race_Asian or Pacific Islander,race_Black,race_Other,race_White,family members under 18_Father only present,family members under 18_Mother only present,family members under 18_Neither parent present,family members under 18_Not in universe,reason for unemployment_Job loser - on layoff,reason for unemployment_New entrant,reason for unemployment_Not in universe,reason for unemployment_Other job loser,reason for unemployment_Re-entrant,region of previous residence_Midwest,region of previous residence_Northeast,region of previous residence_Not in universe,region of previous residence_South,region of previous residence_West,tax filer stat_Joint both 65+,tax filer stat_Joint both under 65,tax filer stat_Joint one under 65 & one 65+,tax filer stat_Nonfiler,tax filer stat_Single,marital stat_Married-A F spouse present,marital stat_Married-civilian spouse present,marital stat_Married-spouse absent,marital stat_Never married,marital stat_Separated,marital stat_Widowed,detailed household summary in household_Child under 18 never married,detailed household summary in household_Group Quarters- Secondary individual,detailed household summary in household_Householder,detailed household summary in household_Nonrelative of householder,detailed household summary in household_Other relative of householder,detailed household summary in household_Spouse of householder,full or part time employment stat_Full-time schedules,full or part time employment stat_Not in labor force,full or part time employment stat_PT for econ reasons usually FT,full or part time employment stat_PT for econ reasons usually PT,full or part time employment stat_PT for non-econ reasons usually FT,full or part time employment stat_Unemployed full-time,full or part time employment stat_Unemployed part- time,migration code-change in reg_Different county same state,migration code-change in reg_Different division same region,migration code-change in reg_Different region,migration code-change in reg_Different state same division,migration code-change in reg_Nonmover,migration code-change in reg_Not Applicable,migration code-change in reg_Not in universe,migration code-change in reg_Same county,class of worker_Local government,class of worker_Never worked,class of worker_Not in universe,class of worker_Private,class of worker_Self-employed-incorporated,class of worker_Self-employed-not incorporated,class of worker_State government,class of worker_Without pay,hispanic origin_Central or South American,hispanic origin_Chicano,hispanic origin_Cuban,hispanic origin_Do not know,hispanic origin_Mexican (Mexicano),hispanic origin_Mexican-American,hispanic origin_Other Spanish,hispanic origin_Puerto Rican,hispanic origin_Unknown,migration code-change in msa_Abroad to nonMSA,migration code-change in msa_MSA to MSA,migration code-change in msa_MSA to nonMSA,migration code-change in msa_NonMSA to MSA,migration code-change in msa_NonMSA to nonMSA,migration code-change in msa_Nonmover,migration code-change in msa_Not Applicable,migration code-change in msa_Not identifiable,migration code-change in msa_Not in universe,migration code-move within reg_Different county same state,migration code-move within reg_Different state in Midwest,migration code-move within reg_Different state in Northeast,migration code-move within reg_Different state in South,migration code-move within reg_Different state in West,migration code-move within reg_Nonmover,migration code-move within reg_Not Applicable,migration code-move within reg_Not in universe,migration code-move within reg_Same county,major occupation code_Executive admin and managerial,major occupation code_Farming forestry and fishing,major occupation code_Handlers equip cleaners etc ,major occupation code_Machine operators assmblrs & inspctrs,major occupation code_Not in universe,major occupation code_Other service,major occupation code_Precision production craft & repair,major occupation code_Private household services,major occupation code_Professional specialty,major occupation code_Protective services,major occupation code_Sales,major occupation code_Technicians and related support,major occupation code_Transportation and material moving,major industry code_freq,detailed household and family stat_freq,country of birth self_freq,country of birth father_freq,country of birth mother_freq,detailed occupation recode_freq,detailed industry recode_freq,state of previous residence_freq,sex_encoded
73,0,0,0,0,0,0,95,9,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4898,0.0098,0.8812,0.7944,0.8026,0.4898,0.4898,0.921,0
58,0,0,0,0,1,52,94,10,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0322,0.2658,0.8812,0.7944,0.8026,0.0184,0.0322,0.0012,1
18,0,0,0,0,0,0,95,6,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4898,0.056,0.0024,0.0026,0.0028,0.4898,0.4898,0.921,0
9,0,0,0,0,0,0,94,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4898,0.249,0.8812,0.7944,0.8026,0.4898,0.4898,0.921,0
10,0,0,0,0,0,0,94,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4898,0.249,0.8812,0.7944,0.8026,0.4898,0.4898,0.921,0
48,1200,0,0,0,1,52,95,10,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0092,0.2144,0.8812,0.0074,0.8026,0.0208,0.0092,0.921,0
42,0,5178,0,0,6,52,94,13,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.2658,0.8812,0.7944,0.8026,0.0162,0.0154,0.921,1
28,0,0,0,0,4,30,95,9,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0322,0.0314,0.8812,0.7944,0.8026,0.0026,0.0322,0.921,0
47,876,0,0,0,5,52,95,10,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.2144,0.8812,0.7944,0.8026,0.042,0.045,0.921,0
34,0,0,0,0,6,52,94,10,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0322,0.2658,0.8812,0.7944,0.8026,0.0118,0.0322,0.921,1
